Data Set 10:Time(s),Data Set 10:615 nm,Data Set 10:525 nm,Data Set 10:465 nm
0.00,0.000000,0.863446,0.000000
0.05,0.000000,0.863446,0.000000
0.10,0.000000,0.863446,0.000000
0.15,0.000000,0.863446,0.000000
0.20,0.000000,0.863446,0.000000
0.25,0.000000,0.863446,0.000000
0.30,0.000000,0.863446,0.000000
0.35,0.000000,0.863446,0.000000
0.40,0.000000,0.863446,0.000000
0.45,0.000000,0.863446,0.000000
0.50,0.337476,0.431723,0.797019
0.55,0.337476,0.431723,0.797019
0.60,0.337476,0.431723,0.797019
0.65,0.337476,0.431723,0.797019
0.70,0.337476,0.431723,0.797019
0.75,0.337476,0.431723,0.797019
0.80,0.337476,0.431723,0.797019
0.85,0.337476,0.431723,0.797019
0.90,0.337476,0.431723,0.797019
0.95,0.337476,0.431723,0.797019
1.00,0.337476,0.431723,0.797019
1.05,0.337476,0.431723,0.797019
1.10,0.337476,0.431723,0.797019
1.15,0.337476,0.431723,0.797019
1.20,0.337476,0.431723,0.797019
1.25,0.337476,0.431723,0.797019
1.30,0.337476,0.431723,0.797019
1.35,0.337476,0.431723,0.797019
1.40,0.337476,0.431723,0.797019
1.45,0.337476,0.431723,0.797019
1.50,0.337476,0.431723,0.797019
1.55,0.337476,0.431723,0.797019
1.60,0.337476,0.431723,0.797019
1.65,0.337476,0.431723,0.797019
1.70,0.337476,0.431723,0.797019
1.75,0.337476,0.431723,0.797019
1.80,0.337476,0.431723,0.797019
1.85,0.337476,0.431723,0.797019
1.90,0.337476,0.431723,0.797019
1.95,0.337476,0.431723,0.797019
2.00,0.168738,0.215861,2.391058
2.05,0.168738,0.215861,2.391058
2.10,0.168738,0.215861,2.391058
2.15,0.168738,0.215861,2.391058
2.20,0.000000,0.000000,3.985097
2.25,0.000000,0.000000,3.985097
2.30,0.168738,0.215861,2.391058
2.35,0.168738,0.215861,2.391058
2.40,0.000000,0.000000,3.985097
2.45,0.000000,0.000000,3.985097
2.50,0.000000,0.000000,3.985097
2.55,0.000000,0.000000,3.985097
2.60,0.000000,0.863446,3.586587
2.65,0.000000,0.863446,3.586587
2.70,0.000000,0.863446,3.586587
2.75,0.000000,0.863446,3.586587
2.80,0.000000,0.863446,3.586587
2.85,0.000000,0.863446,3.586587
2.90,0.000000,0.863446,3.586587
2.95,0.000000,0.863446,3.586587
3.00,0.000000,0.863446,3.586587
3.05,0.000000,0.863446,3.586587
3.10,0.000000,0.647584,5.180625
3.15,0.000000,0.647584,5.180625
3.20,0.000000,0.647584,5.180625
3.25,0.000000,0.647584,5.180625
3.30,0.000000,0.647584,5.180625
3.35,0.000000,0.647584,5.180625
3.40,0.000000,0.647584,5.180625
3.45,0.000000,0.647584,5.180625
3.50,0.000000,1.295169,6.376155
3.55,0.000000,1.295169,6.376155
3.60,0.000000,1.295169,6.376155
3.65,0.000000,1.295169,6.376155
3.70,0.000000,0.863446,7.571683
3.75,0.000000,0.863446,7.571683
3.80,0.000000,0.863446,7.571683
3.85,0.000000,0.863446,7.571683
3.90,0.000000,0.863446,7.571683
3.95,0.000000,0.863446,7.571683
4.00,0.000000,1.079307,7.970193
4.05,0.000000,1.079307,7.970193
4.10,0.000000,0.647584,9.165722
4.15,0.000000,0.647584,9.165722
4.20,0.000000,0.863446,7.571683
4.25,0.000000,0.863446,7.571683
4.30,0.000000,1.511031,8.767213
4.35,0.000000,1.511031,8.767213
4.40,0.000000,1.295169,10.361251
4.45,0.000000,1.295169,10.361251
4.50,0.000000,1.295169,10.361251
4.55,0.000000,1.295169,10.361251
4.60,0.000000,1.079307,11.955290
4.65,0.000000,1.079307,11.955290
4.70,0.000000,1.079307,11.955290
4.75,0.000000,1.079307,11.955290
4.80,0.000000,1.726892,13.150819
4.85,0.000000,1.726892,13.150819
4.90,0.000000,1.726892,13.150819
4.95,0.000000,1.726892,13.150819
5.00,0.000000,1.295169,14.346348
5.05,0.000000,1.295169,14.346348
5.10,0.000000,1.079307,15.940387
5.15,0.000000,1.079307,15.940387
5.20,0.000000,1.942754,15.541878
5.25,0.000000,1.942754,15.541878
5.30,0.000000,1.942754,15.541878
5.35,0.000000,1.942754,15.541878
5.40,0.000000,1.726892,17.135916
5.45,0.000000,1.726892,17.135916
5.50,0.000000,1.295169,18.331444
5.55,0.000000,1.295169,18.331444
5.60,0.000000,2.158615,17.932936
5.65,0.000000,2.158615,17.932936
5.70,0.000000,2.374476,20.323994
5.75,0.000000,2.374476,20.323994
5.80,0.000000,2.158615,21.918032
5.85,0.000000,2.158615,21.918032
5.90,0.000000,2.590338,20.722502
5.95,0.000000,2.590338,20.722502
6.00,0.000000,2.374476,22.316542
6.05,0.000000,2.374476,22.316542
6.10,0.000000,2.806199,23.113562
6.15,0.000000,2.806199,23.113562
6.20,0.000000,2.374476,24.309090
6.25,0.000000,2.374476,24.309090
6.30,0.000000,2.590338,22.715050
