Data Set 1:Time(s),Data Set 1:Sound level A-weighted(dB),Data Set 1:Sound level C-weighted(dB),Data Set 2:Time(s),Data Set 2:Sound level A-weighted(dB),Data Set 2:Sound level C-weighted(dB),Data Set 3:Time(s),Data Set 3:Sound level A-weighted(dB),Data Set 3:Sound level C-weighted(dB),Data Set 4:Time(s),Data Set 4:Sound level A-weighted(dB),Data Set 4:Sound level C-weighted(dB),Data Set 5:Time(s),Data Set 5:Sound level A-weighted(dB),Data Set 5:Sound level C-weighted(dB),Data Set 6:Time(s),Data Set 6:Sound level A-weighted(dB),Data Set 6:Sound level C-weighted(dB)
0.0,54.3,71.8,0.0,53.0,65.0,0.0,64.8,66.9,0.0,55.9,56.4,0.0,61.1,62.0,0.0,62.4,63.0
0.1,59.0,71.9,0.1,53.0,64.2,0.1,57.8,62.5,0.1,66.4,66.4,0.1,65.8,66.8,0.1,58.8,60.1
0.2,53.1,72.0,0.2,53.0,62.1,0.2,55.9,58.9,0.2,60.1,62.2,0.2,63.9,67.7,0.2,69.6,69.6
0.3,56.1,70.9,0.3,61.8,62.6,0.3,59.0,60.2,0.3,56.3,56.6,0.3,71.9,73.5,0.3,87.6,90.5
0.4,65.0,70.1,0.4,62.5,65.3,0.4,58.2,59.2,0.4,53.0,56.4,0.4,76.6,79.0,0.4,53.6,55.6
0.5,71.6,71.4,0.5,66.9,65.0,0.5,89.9,92.1,0.5,89.6,91.0,0.5,76.1,77.6,0.5,87.6,90.6
0.6,74.8,73.0,0.6,68.2,66.3,0.6,83.1,86.1,0.6,86.4,93.1,0.6,79.0,82.6,0.6,74.9,72.2
0.7,66.4,71.7,0.7,67.4,67.5,0.7,84.5,90.3,0.7,83.0,85.6,0.7,54.5,59.4,0.7,79.9,79.2
0.8,58.3,71.1,0.8,53.0,66.2,0.8,95.7,96.7,0.8,78.5,80.5,0.8,71.1,71.8,0.8,85.5,85.9
0.9,66.5,70.4,0.9,60.1,66.1,0.9,97.9,101.8,0.9,84.2,88.8,0.9,68.1,68.5,0.9,60.2,59.5
1.0,70.5,71.8,1.0,59.6,66.4,1.0,53.0,53.0,1.0,53.0,53.7,1.0,57.8,60.1,1.0,87.7,90.5
1.1,56.8,70.8,1.1,53.0,64.0,1.1,93.4,93.2,1.1,93.1,87.0,1.1,77.5,78.0,1.1,64.8,65.7
1.2,72.6,72.4,1.2,68.7,65.5,1.2,72.5,76.2,1.2,53.0,53.0,1.2,75.7,78.3,1.2,66.1,66.1
1.3,71.5,70.5,1.3,68.2,66.8,1.3,57.5,61.5,1.3,70.6,72.0,1.3,83.6,86.7,1.3,53.0,57.6
1.4,73.5,71.8,1.4,69.7,68.3,1.4,91.3,98.6,1.4,82.8,76.6,1.4,66.9,66.3,1.4,71.7,64.3
1.5,67.4,67.9,1.5,56.1,62.5,1.5,98.6,101.9,1.5,94.3,97.2,1.5,64.2,65.4,1.5,87.7,90.6
1.6,72.4,70.2,1.6,57.8,61.7,1.6,99.3,102.1,1.6,90.5,95.5,1.6,73.2,75.9,1.6,54.5,57.5
1.7,69.9,71.8,1.7,65.9,65.2,1.7,91.1,92.2,1.7,84.8,87.5,1.7,55.4,57.8,1.7,56.3,56.8
1.8,63.6,69.7,1.8,54.3,64.0,1.8,82.4,86.4,1.8,86.1,83.4,1.8,80.4,80.8,1.8,61.8,61.2
1.9,66.6,69.7,1.9,67.2,66.7,1.9,88.4,91.7,1.9,61.3,64.4,1.9,78.1,81.8,1.9,73.8,78.5
2.0,62.6,67.6,2.0,64.4,62.9,2.0,57.3,59.5,2.0,53.0,53.0,2.0,83.6,86.5,2.0,84.4,83.0
2.1,73.8,72.6,2.1,69.0,71.6,2.1,97.0,99.9,2.1,85.3,89.7,2.1,68.5,71.3,2.1,58.8,59.9
2.2,64.1,67.3,2.2,57.0,58.0,2.2,90.6,95.3,2.2,92.5,95.9,2.2,69.2,72.6,2.2,87.4,90.1
2.3,70.0,68.8,2.3,62.0,62.3,2.3,99.2,102.0,2.3,93.6,96.4,2.3,78.2,81.6,2.3,87.9,90.6
2.4,70.5,68.7,2.4,67.7,68.7,2.4,82.1,85.2,2.4,81.7,86.2,2.4,53.0,53.0,2.4,87.7,90.6
2.5,53.0,69.9,2.5,55.2,57.8,2.5,81.4,86.0,2.5,73.3,81.0,2.5,73.4,72.4,2.5,75.8,81.3
2.6,61.8,68.8,2.6,65.2,60.5,2.6,93.4,97.6,2.6,77.0,80.9,2.6,83.7,86.6,2.6,66.1,67.4
2.7,73.9,72.4,2.7,70.0,71.1,2.7,53.6,53.9,2.7,57.9,59.1,2.7,64.3,66.0,2.7,87.6,90.5
2.8,64.2,70.9,2.8,61.5,62.4,2.8,89.3,93.8,2.8,92.1,94.8,2.8,83.6,86.5,2.8,58.6,59.5
2.9,73.3,71.6,2.9,69.8,68.3,2.9,99.1,101.9,2.9,93.0,95.9,2.9,80.5,80.9,2.9,87.5,90.5
3.0,72.8,71.2,3.0,68.4,65.9,3.0,81.7,85.6,3.0,87.5,90.6,3.0,77.4,79.6,3.0,71.3,73.6
3.1,67.7,67.5,3.1,67.5,65.0,3.1,99.1,101.9,3.1,93.0,95.9,3.1,83.5,86.5,3.1,59.6,61.5
3.2,73.8,72.4,3.2,68.8,67.7,3.2,95.2,98.8,3.2,84.5,87.3,3.2,58.6,60.4,3.2,62.3,62.9
3.3,60.7,68.0,3.3,53.0,58.5,3.3,99.0,101.6,3.3,93.0,95.9,3.3,56.7,57.8,3.3,64.2,64.9
3.4,54.8,67.5,3.4,56.7,58.3,3.4,99.2,102.0,3.4,91.8,94.9,3.4,53.0,55.3,3.4,87.6,90.4
3.5,53.0,66.5,3.5,54.5,56.3,3.5,56.1,57.8,3.5,65.2,63.5,3.5,60.7,61.0,3.5,65.8,66.3
3.6,53.0,63.6,3.6,55.4,58.6,3.6,55.9,59.6,3.6,53.4,55.0,3.6,80.3,80.6,3.6,83.6,82.7
3.7,70.3,68.8,3.7,68.4,64.7,3.7,59.9,62.9,3.7,53.0,53.0,3.7,83.7,86.7,3.7,87.4,90.4
